time,close,high,low,open,volumefrom,volumeto
2017-06-13,0.587,0.589,0.538,0.553,161426.23,89085.41
2017-06-14,0.5202,0.6101,0.4795,0.587,7801447.35,4352877.46
2017-06-15,0.3467,0.5447,0.2912,0.5202,7001897.7,2693369.33
2017-06-16,0.4082,0.599,0.3053,0.3467,4599676.22,1857604.87
2017-06-17,0.428,0.4512,0.4,0.4082,1422734.77,622794.3
2017-06-18,0.4056,0.4502,0.385,0.428,1754651.02,722974.53
2017-06-19,0.4254,0.435,0.395,0.4056,1892912.12,788130.95
2017-06-20,0.4405,0.4472,0.411,0.4254,3237492.65,1391167.54
2017-06-21,0.425,0.4624,0.415,0.4405,3453289.58,1528500.55
2017-06-22,0.4373,0.4499,0.4114,0.425,1080249.42,469896.82
2017-06-23,0.4828,0.4828,0.433,0.4373,2033056.64,928850.24
2017-06-24,0.5053,0.6289,0.4767,0.4828,8840428.6,4742047.02
2017-06-25,0.4653,0.5214,0.4401,0.5053,3529984.32,1707780.99
2017-06-26,0.408,0.4659,0.3401,0.4653,7089028.89,2770249.45
2017-06-27,0.394,0.42,0.3483,0.408,3235162.46,1203467.51
2017-06-28,0.373,0.4,0.3511,0.394,3372494.33,1255278.06
2017-06-29,0.411,0.4599,0.3619,0.373,3891326.73,1584518.22
2017-06-30,0.398,0.449,0.393,0.411,2510330.5,1065339.66
2017-07-01,0.3811,0.4129,0.3701,0.398,1679947.64,654289.32
2017-07-02,0.3769,0.39,0.36,0.3811,2263467.04,844444.57
2017-07-03,0.376,0.385,0.35,0.3769,3703605.72,1359977.28
2017-07-04,0.3938,0.4098,0.3702,0.376,2879544.17,1126011.22
2017-07-05,0.381,0.3987,0.3681,0.3938,2314101.07,883114.64
2017-07-06,0.3529,0.3851,0.3033,0.381,11065699.03,3901437.55
2017-07-07,0.2822,0.3565,0.27,0.3529,11934073.96,3613254.61
2017-07-08,0.3003,0.3202,0.2751,0.2822,5138732.27,1526339.31
2017-07-09,0.3,0.3125,0.2829,0.3003,3017972.41,891132.55
2017-07-10,0.21,0.3041,0.1837,0.3,22297236.9,5296590.19
2017-07-11,0.1869,0.2342,0.1837,0.21,14921392.99,3061285.43
