date,txVolume(USD),adjustedTxVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),realizedCap(USD),generatedCoins,fees,activeAddresses,averageDifficulty,paymentCount,medianTxValue(USD),medianFee,blockSize,blockCount
2018-11-09,,,,0.0,88.3,2585660.0,,,,,,,,,,
2018-11-10,,,,0.0,70.27,4748070.0,,,,,,,,,,
2018-11-11,,,,0.0,87.7,8902820.0,,,,,,,,,,
2018-11-12,,,,0.0,116.45,10779600.0,,,,,,,,,,
2018-11-13,,,,0.0,109.9,20708000.0,,,,,,,,,,
2018-11-14,,,,0.0,205.76,36795500.0,,,,,,,,,,
2018-11-15,,,,0.0,176.28,40105900.0,107970483.03165425,,,,,,,,,
2018-11-16,16761606.83530815,13773473.697471762,555158,0.0,94.47,180605000.0,153659176.46099728,2037.5,2.59483108,10399,543624697350.672,561420,0.079883832,5e-06,205034760,163
2018-11-17,57556195.99981657,50689805.671147466,1922573,0.0,123.29,200816000.0,165447249.3550374,1575.0,6.09712892,8839,610465038783.503,1050018,0.0252423946,1.9200000000000003e-06,571376186,126
2018-11-18,23700444.45907246,20684769.871441953,4421110,0.0,130.29,83486800.0,171782142.07223114,1600.0,9.38975284,9351,494665594814.344,831452,0.0007113834,1.9200000000000003e-06,927828225,128
2018-11-19,38840843.03953332,32268732.15443165,2941899,0.0,105.84,97310700.0,155075295.73419902,1462.5,6.00705615,478646,452514477609.391,778549,0.003381588,1.9200000000000003e-06,590618106,117
2018-11-20,26390785.547245532,22498371.56091291,1626675,0.0,71.65,124675000.0,161099473.53262115,2187.5,3.42311661,534155,338370640298.166,197413,0.0017303475000000003,1.9200000000000003e-06,328764633,175
2018-11-21,9401779.865571104,8551971.627081437,106737,0.0,51.12,56414700.0,169319144.43686056,1887.5,0.38921318,7884,549216527138.913,12716,0.0002791152,1.9200000000000003e-06,21803747,151
2018-11-22,17194446.35312339,15677746.910592105,4214,0.0,50.72,32667900.0,176902385.49854362,1612.5,0.23537907,20008,549610279197.545,6863,7.1536360384,3.79e-06,9201093,129
2018-11-23,36387503.59704338,34916167.05646315,6916,0.0,42.5,118574000.0,168750073.33016768,1500.0,0.10999306,7997,470377665163.467,3011,0.19125000000000003,2.27e-06,2383037,120
2018-11-24,11263734.45973927,7333591.710696883,7546,0.0,52.82,172732000.0,169366332.0254325,1937.5,0.1008769,13287,382584239985.339,4843,5.9933396168,1.9200000000000003e-06,2923933,155
