date,txVolume(USD),adjustedTxVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),realizedCap(USD),generatedCoins,fees,activeAddresses,averageDifficulty,paymentCount,medianTxValue(USD),medianFee,blockSize,blockCount
2017-10-23,,,,0.0,479.82,7652060.0,,,,,,,,,,
2017-10-24,,,,0.0,498.44,23301700.0,,,,,,,,,,
2017-10-25,,,,0.0,143.15,16040700.0,0.0,,,,,,,,,
2017-10-26,,,,0.0,137.03,11556600.0,0.0,,,,,,,,,
2017-10-27,,,,0.0,137.24,8217860.0,0.0,,,,,,,,,
2017-10-28,,,,0.0,120.52,5635800.0,0.0,,,,,,,,,
2017-10-29,,,,0.0,115.92,11295300.0,0.0,,,,,,,,,
2017-10-30,,,,0.0,138.65,6730380.0,0.0,,,,,,,,,
2017-10-31,,,,0.0,133.84,18906800.0,0.0,,,,,,,,,
2017-11-01,,,,0.0,157.02,14898100.0,0.0,,,,,,,,,
2017-11-02,,,,0.0,144.9,12020600.000000002,0.0,,,,,,,,,
2017-11-03,,,,0.0,126.35,8035790.0,0.0,,,,,,,,,
2017-11-04,,,,0.0,131.6,9145650.0,0.0,,,,,,,,,
2017-11-05,,,,0.0,141.79,16915700.0,0.0,,,,,,,,,
2017-11-06,,,,0.0,165.49,10901900.000000002,0.0,,,,,,,,,
2017-11-07,,,,0.0,149.25,7219510.000000001,0.0,,,,,,,,,
2017-11-08,,,,0.0,153.13,12513699.999999998,0.0,,,,,,,,,
2017-11-09,,,,0.0,140.51,13140500.0,0.0,,,,,,,,,
2017-11-10,,,,0.0,157.49,36198500.0,0.0,,,,,,,,,
2017-11-11,,,,0.0,213.12,187191008.0,0.0,,,,,,,,,
2017-11-12,,,,0.0,421.75,90339904.0,19980507.5,,,,,,,,,
2017-11-13,,,,0.0,277.0,45916500.0,35227347.96783293,,,,,,,,,
2017-11-14,,,,0.0,253.21,39340400.0,39638488.19749394,,,,,,,,,
2017-11-15,,,,0.0,160.54,30094100.0,45990924.7082754,,,,,,,,,
2017-11-16,12852261.220330723,10027698.120812345,5090,0.0,161.87,27949200.0,49842786.57090008,1887.49999985,0.6987999,19159,3246568.73229899,12155,161.86635792500002,2.2780000000000002e-05,3893483,151
2017-11-17,18768115.932932287,15343376.6490378,5059,0.0,138.75,24935100.0,61019913.73909051,1799.99999984,4.38828602,15309,2988552.0653185,10599,141.32333381249998,2.622e-05,3483477,144
2017-11-18,17648111.52496095,13832488.711689202,5993,0.0,153.07,24642900.0,70263518.64149316,1887.49999996,4.04755235,19909,2909324.81655162,14657,221.18921139999998,3.42e-05,4628962,151
2017-11-19,17580055.266803928,13834166.613296783,4636,0.0,154.91,19503400.0,75630530.6964882,1699.99999996,0.9303063,15061,3489825.11507307,8905,203.6908166489,2.281e-05,3606402,136
2017-11-20,127876884.63747443,68331897.26846226,14294,0.0,135.2,93826896.0,178178456.95665732,1912.5,6.3746348,56483,2724814.72348663,14313,303.79697826399996,6.41e-05,11813794,153
2017-11-21,246197713.6609986,173878732.43666258,25481,0.0,250.85,370782016.0,270433894.1102727,2137.49999996,11.06228395,79937,5154291.53934322,21929,501.97842844900003,2.575e-05,18881595,171
2017-11-22,181608640.72240642,166634699.28637514,11965,0.0,264.18,111451000.00000001,289341751.61486614,1812.5,8.03925191,76961,4973247.91154209,18614,424.7110032606,2.25e-05,19492626,145
2017-11-23,92479311.573612,66492052.654144615,10930,0.0,241.97,154038000.0,315743403.1402017,1924.99999991,7.84789094,42397,4984716.07522344,17349,370.8526709285,2.27e-05,9843659,154
2017-11-24,381428274.72375625,239888000.23830393,22061,0.0,295.75,537472000.0,461058225.85581136,1962.5,7.2356648,73324,7122678.78788522,28333,1010.8472137399999,5e-05,15743304,157
2017-11-25,381399562.4374786,162185695.59081882,13333,6569216429.288395,394.04,208662000.0,489630127.6339451,1800.0,3.79134717,77333,6976159.47257757,22373,755.7899548156001,1.93e-05,18831785,144
2017-11-26,440297512.6491657,145975313.67048934,15488,5931014450.993975,355.72,141228000.0,529259601.48161364,1837.49999999,3.49975986,138157,6879050.52307917,25657,233.28402531720002,3.42e-05,44424813,147
