time,Open,High,Low,close,volumeto,Market Cap
2018-07-26,0.002663,0.003392,0.002655,0.003294,51364,
2018-07-27,0.003179,0.005079,0.002797,0.002936,43180,
2018-07-28,0.00294,0.003153,0.00277,0.00309,26879,
2018-07-29,0.0031,0.034702,0.00286,0.002918,36859,
2018-07-30,0.002918,0.003455,0.002859,0.003413,75383,
2018-07-31,0.003412,0.003489,0.002945,0.003026,31348,
2018-08-01,0.003026,0.003079,0.002786,0.002845,20596,
2018-08-02,0.002843,0.002873,0.002541,0.002545,19717,
2018-08-03,0.002544,0.003435,0.002465,0.00284,21526,5381723
2018-08-04,0.002647,0.003252,0.002432,0.002508,30373,4753362
2018-08-05,0.002508,0.002694,0.002245,0.002286,24345,4332395
2018-08-06,0.002289,0.0024,0.002193,0.00227,16621,4301770
2018-08-07,0.002269,0.002686,0.002224,0.002556,30812,4844665
2018-08-08,0.002557,0.002557,0.002091,0.002112,12161,4070043
2018-08-09,0.002116,0.002243,0.002116,0.002212,29928,4276494
2018-08-10,0.00221,0.002322,0.002051,0.002073,19131,4019813
2018-08-11,0.002071,0.002178,0.002013,0.002068,22101,4021736
2018-08-12,0.002107,0.002112,0.001982,0.002079,34413,4056741
2018-08-13,0.002079,0.002157,0.001624,0.001961,28375,3837294
2018-08-14,0.00196,0.001993,0.001613,0.001725,21117,3386504
2018-08-15,0.001723,0.001817,0.001577,0.001596,25413,3142567
2018-08-16,0.001594,0.001594,0.001475,0.001537,28607,3036061
2018-08-17,0.001538,0.001989,0.001488,0.001807,18149,3580669
2018-08-18,0.00173,0.001866,0.001481,0.001488,23978,2957091
2018-08-19,0.001489,0.001546,0.001412,0.001453,12845,2897450
2018-08-20,0.001452,0.00157,0.001188,0.001285,19723,2570233
2018-08-21,0.001285,0.001392,0.001219,0.001374,27458,2756544
2018-08-22,0.001374,0.001569,0.001352,0.001376,24323,2767024
2018-08-23,0.001376,0.001506,0.001306,0.001446,21415,2918152
2018-08-24,0.001447,0.001576,0.001352,0.001453,56236,2940940
2018-08-25,0.001451,0.001566,0.001428,0.001538,53563,3120218
2018-08-26,0.001539,0.001626,0.001412,0.001491,59656,3033347
2018-08-27,0.001492,0.001581,0.001467,0.00158,46843,3224493
2018-08-28,0.001585,0.001759,0.001563,0.001759,54623,3599723
2018-08-29,0.001758,0.001908,0.001561,0.00174,55282,3571686
2018-08-30,0.001748,0.001847,0.001563,0.001621,48250,3337274
2018-08-31,0.001622,0.001925,0.001529,0.001678,39772,3465007
2018-09-01,0.001632,0.002598,0.001588,0.002291,116647,4745645
2018-09-02,0.002275,0.002312,0.00173,0.002078,55359,4315562
2018-09-03,0.002006,0.002043,0.001712,0.001826,103009,3802713
2018-09-04,0.001825,0.001838,0.001739,0.001821,101809,3804942
2018-09-05,0.00182,0.001831,0.001473,0.001473,95279,3086535
2018-09-06,0.001474,0.001578,0.001387,0.001488,105894,3125791
2018-09-07,0.001491,0.001592,0.00148,0.001504,303947,3169549
2018-09-08,0.001504,0.001603,0.001399,0.001419,136526,2997855
2018-09-09,0.001416,0.001428,0.001305,0.001381,118119,2925938
2018-09-10,0.001387,0.001436,0.001272,0.001313,115375,2789682
2018-09-11,0.001314,0.001329,0.001185,0.001203,81926,2564251
2018-09-12,0.001206,0.001236,0.001128,0.001234,107002,2637942
2018-09-13,0.001233,0.001332,0.001233,0.001308,152038,2803325
2018-09-14,0.001306,0.001398,0.001263,0.001318,211883,2831869
2018-09-15,0.001313,0.00135,0.001282,0.001308,219502,2819720
