time,Open,High,Low,close,volumeto,Market Cap
2015-01-28,3e-06,3e-06,2e-06,2e-06,26,57234
2015-01-29,2e-06,5e-06,2e-06,5e-06,14,114273
2015-01-30,5e-06,5e-06,2e-06,2e-06,7,57107
2015-01-31,2e-06,2e-06,2e-06,2e-06,41,53209
2015-02-01,2e-06,4e-06,2e-06,2e-06,9,55536
2015-02-02,2e-06,2e-06,2e-06,2e-06,10,58289
2015-02-03,2e-06,2e-06,2e-06,2e-06,9,55607
2015-02-04,2e-06,2e-06,2e-06,2e-06,9,55384
2015-02-05,2e-06,2e-06,2e-06,2e-06,7,53124
2015-02-06,2e-06,2e-06,2e-06,2e-06,7,53696
2015-02-08,2e-06,2e-06,2e-06,2e-06,2,54665
2015-02-09,2e-06,2e-06,2e-06,2e-06,2,53980
2015-02-13,2e-06,2e-06,2e-06,2e-06,40,57604
2015-02-14,2e-06,2e-06,2e-06,2e-06,41,58308
2015-02-17,2e-06,2e-06,2e-06,2e-06,2,59608
2015-02-18,2e-06,2e-06,2e-06,2e-06,2,57824
2015-02-19,2e-06,2e-06,2e-06,2e-06,2,57765
2015-02-23,2e-06,2e-06,2e-06,2e-06,29,58453
2015-02-24,2e-06,7e-06,2e-06,5e-06,86,116830
2015-02-25,5e-06,5e-06,2e-06,2e-06,3,58105
2015-02-26,2e-06,5e-06,2e-06,5e-06,3,115699
2015-02-27,5e-06,5e-06,3e-06,3e-06,1,62106
2015-02-28,3e-06,3e-06,2e-06,3e-06,0,61487
2015-03-01,2e-06,3e-06,2e-06,3e-06,0,63667
2015-03-02,3e-06,3e-06,3e-06,3e-06,0,63792
2015-03-03,3e-06,1.3e-05,3e-06,1.1e-05,370,275714
2015-03-04,1.1e-05,1.1e-05,3e-06,5e-06,73,133642
2015-03-05,5e-06,8e-06,3e-06,3e-06,56,67575
2015-03-06,3e-06,8e-06,3e-06,5e-06,41,133461
2015-03-07,5e-06,6e-06,3e-06,3e-06,12,67597
2015-03-08,3e-06,6e-06,3e-06,5e-06,6,134259
2015-03-09,5e-06,6e-06,5e-06,6e-06,1,141724
2015-03-10,6e-06,6e-06,3e-06,3e-06,16,71389
2015-03-11,3e-06,3e-06,3e-06,3e-06,24,72517
2015-03-12,3e-06,6e-06,3e-06,3e-06,4,72023
2015-03-13,3e-06,3e-06,3e-06,3e-06,17,69816
2015-03-14,3e-06,3e-06,3e-06,3e-06,21,68972
2015-03-15,3e-06,6e-06,3e-06,3e-06,5,70075
2015-03-16,3e-06,3e-06,3e-06,3e-06,2,71103
2015-03-17,3e-06,3e-06,3e-06,3e-06,7,69858
2015-03-18,3e-06,5e-06,3e-06,5e-06,0,125423
2015-03-19,5e-06,5e-06,3e-06,5e-06,56,127689
2015-03-20,5e-06,5e-06,3e-06,5e-06,11,128090
2015-03-21,5e-06,5e-06,3e-06,5e-06,1,127248
2015-03-22,5e-06,5e-06,3e-06,3e-06,7,65566
2015-03-23,3e-06,6e-06,3e-06,5e-06,14,130535
2015-03-24,5e-06,5e-06,3e-06,5e-06,17,120187
2015-03-25,5e-06,5e-06,2e-06,5e-06,42,120480
2015-03-26,5e-06,5e-06,2e-06,5e-06,30,121623
2015-03-27,5e-06,5e-06,2e-06,2e-06,26,60442
