time (UTC), time (unix millis), index (BTC), index (USD)
2018-05-12 00:00:40,1526083240437,0.0651552740237163752,548.950775573796932
2018-05-11 00:00:39,1525996839451,0.0660958278787249498,596.719743671916717
2018-05-10 00:00:24,1525910424653,0.0671137841216065539,625.650131751964182
2018-05-09 00:00:18,1525824018713,0.0676500365022606603,622.054262644857204
2018-05-08 00:00:25,1525737625902,0.0672226141691229795,630.054034692230516
2018-05-07 00:00:55,1525651255779,0.0677647868245133678,653.82719038058076
2018-05-06 00:00:26,1525564826771,0.0680611611827285218,670.132915451592453
2018-05-05 00:00:43,1525478443442,0.0672814456631161129,652.537847351667779
2018-05-04 00:00:37,1525392037389,0.0671795978250537135,654.448190704173498
2018-05-03 00:00:09,1525305609297,0.0672750554758506647,621.104840170805574
2018-05-02 00:00:17,1525219217750,0.0665873748382264374,604.601377803625155
2018-05-01 00:00:58,1525132858784,0.0654602072255669742,605.26209566147088
2018-04-30 00:00:57,1525046457732,0.066832360556405887,629.248729317545099
2018-04-29 00:00:43,1524960043418,0.0658099357643605193,615.535465489289663
2018-04-28 00:00:09,1524873609528,0.0646180528831696022,577.602681667845786
2018-04-27 00:00:50,1524787250091,0.0644037561652859303,598.246491019340965
2018-04-26 00:00:33,1524700833493,0.0631204385804674806,559.601191483378329
2018-04-25 00:00:38,1524614438550,0.0645300481774172402,623.76357819495945
2018-04-24 00:00:32,1524528032363,0.0646309048558933175,579.645501745322008
2018-04-23 00:00:28,1524441628187,0.0632727769093097553,558.239259748843551
2018-04-22 00:00:08,1524355208887,0.0623075523489993663,556.778418564087815
2018-04-21 00:00:51,1524268851788,0.0637098667149286063,565.524454487066578
2018-04-20 00:00:06,1524182406033,0.0624325671764597023,518.322040281357886
2018-04-19 00:00:41,1524096041823,0.0609107569154574008,498.972393145458852
2018-04-18 00:00:24,1524009624815,0.0593233808623311182,469.904652447185128
2018-04-17 00:00:18,1523923218013,0.0589897281406859403,476.59748025888814
2018-04-16 00:00:23,1523836823496,0.0587754309893422783,492.425850617498668
2018-04-15 00:00:40,1523750440853,0.0579592870806595536,465.094878771623428
2018-04-14 00:00:47,1523664047825,0.058017881204306225,458.258876122709069
2018-04-13 00:00:31,1523577631452,0.057992743846275778,459.946830646636272
2018-04-12 00:00:33,1523491233957,0.0576809923822456383,402.548724116606422
2018-04-11 00:00:05,1523404805774,0.0562981408565111363,386.828466694947963
2018-04-10 00:00:47,1523318447502,0.0559076897583579494,379.687570686629101
2018-04-09 00:00:07,1523232007884,0.0553263670453455828,390.046461560322712
2018-04-08 00:00:55,1523145655392,0.0549949755319467035,380.118671479751811
2018-04-07 00:00:05,1523059205613,0.0551533532816139149,365.934777554048878
2018-04-06 00:00:54,1522972854621,0.0555413843275980798,377.523675896176542
2018-04-05 00:00:41,1522886441948,0.0552650190707057939,376.263039939849079
2018-04-04 00:00:57,1522800057048,0.0557955210693863099,414.556257903854714
2018-04-03 00:00:33,1522713633091,0.0548080691793693398,387.871224775478879
2018-04-02 00:00:27,1522627227840,0.0547579216970945706,374.321319666819704
2018-04-01 00:00:19,1522540819151,0.0553971747351554161,384.690168739360956
2018-03-31 00:00:07,1522454407842,0.0558249014678865521,382.637272637246724
2018-03-30 00:00:26,1522368026582,0.0548052464182215843,389.389631644071812
2018-03-29 00:00:28,1522281628790,0.0554913815497846477,441.792414553348465
2018-03-28 00:00:44,1522195244892,0.055904058225261094,436.266884781203828
2018-03-27 00:00:42,1522108842062,0.0564036655255341496,460.597973048064432
2018-03-26 00:00:19,1522022419165,0.0573620521753737955,486.198459756381226
2018-03-25 00:00:05,1521936005942,0.0570462862900234513,487.565481515024032
2018-03-24 00:00:52,1521849652458,0.0566710586650848447,507.137403071524659
2018-03-23 00:00:20,1521763220897,0.0572780812004407627,499.63899343469285
2018-03-22 00:00:42,1521676842534,0.0572027358834958088,509.9435134985236
2018-03-21 00:00:16,1521590416667,0.0573207562317408423,511.501195026377047
2018-03-20 00:00:34,1521504034856,0.0576881412921297354,496.799312060975751
2018-03-19 00:00:46,1521417646829,0.056858538044411211,469.150600526665357
2018-03-18 00:00:03,1521331203322,0.0579808757278186676,456.797690951561151
2018-03-17 00:00:53,1521244853371,0.0589637435423000372,487.785233740337503
2018-03-16 00:00:49,1521158449457,0.0592504584623853997,491.113422589266236
2018-03-15 00:00:00,1521072000519,0.0598481146638775441,491.646875633434263
2018-03-14 00:00:03,1520985603397,0.0602643246262302493,552.028445295224287
2018-03-13 00:00:47,1520899247887,0.0604463285980556889,551.345470261729474
2018-03-12 00:00:58,1520812858357,0.060322494252543768,576.376003558572961
2018-03-11 00:00:41,1520726441794,0.0609141646631086719,535.481193012222548
2018-03-10 00:00:26,1520640026491,0.0612942013262687962,567.20918376913221
2018-03-09 00:00:06,1520553606162,0.060137249419280038,560.285522644559933
2018-03-08 00:00:53,1520467253070,0.0603960452081032592,598.081501040475814
2018-03-07 00:00:57,1520380857148,0.0605058464849688796,649.454024649569874
2018-03-06 00:00:11,1520294411012,0.060147730709776713,687.858470556612929
2018-03-05 00:00:46,1520208046126,0.0608409360307796271,700.636918418134428
2018-03-04 00:00:49,1520121649328,0.060049814592783933,688.647670761170616
2018-03-03 00:00:44,1520035244344,0.061403626603120022,678.443144011478807
2018-03-02 00:00:26,1519948826562,0.062365498367182276,681.673606802812401
2018-03-01 00:00:04,1519862404796,0.0631269463541679204,652.369014091096346
2018-02-28 00:00:41,1519776041952,0.0637936612016774679,675.373922092979114
2018-02-27 00:00:23,1519689623386,0.0644248432024659839,665.522159498546102
2018-02-26 00:00:06,1519603206924,0.0658699666042554116,633.091399125817702
2018-02-25 00:00:33,1519516833332,0.065156878648101671,631.785854985880064
2018-02-24 00:00:34,1519430434870,0.0647618847202864195,658.822005640626571
2018-02-23 00:00:21,1519344021665,0.0638726294990949045,628.703401969951074
2018-02-22 00:00:25,1519257625966,0.0638000033905658931,668.461345524484727
2018-02-21 00:00:02,1519171202764,0.0634422926477902632,714.169888336175063
2018-02-20 00:00:25,1519084825766,0.0662660109071622483,740.970630121270574
2018-02-19 00:00:25,1518998425488,0.0675188657137574949,702.848435665872898
2018-02-18 00:00:57,1518912057623,0.0682205781875493966,756.782471332777277
2018-02-17 00:00:27,1518825627815,0.0700780912784900734,713.93176739422222
2018-02-16 00:00:03,1518739203107,0.0697575266525412019,700.2476773714709
2018-02-15 00:00:18,1518652818613,0.073249911081379307,694.732189159344671
2018-02-14 00:00:22,1518566422973,0.0728435953165428307,622.575998271662456
2018-02-13 00:00:51,1518480051245,0.0724431732481096297,645.789596898145987
2018-02-12 00:00:21,1518393621771,0.0735401637961732024,594.68400534103057
2018-02-11 00:00:27,1518307227778,0.0736113077129729315,631.028518690997657
2018-02-10 00:00:36,1518220836885,0.0733926638813964527,638.392876092828374
2018-02-09 00:00:07,1518134407653,0.0717724307527298627,592.889800994768052
2018-02-08 00:00:51,1518048051528,0.0706876668386291485,537.123063979997141
2018-02-07 00:00:17,1517961617042,0.0719864278000600794,554.561843843322777
2018-02-06 00:00:40,1517875240957,0.0707810204250414049,492.448332454161857
2018-02-05 00:00:47,1517788847202,0.0720564812612564526,593.230201751735194
2018-02-04 00:00:14,1517702414110,0.0738004014414451598,682.717919682621869
2018-02-03 00:00:30,1517616030826,0.0725638138231930185,643.984255451105696
2018-02-02 00:00:50,1517529650424,0.0748273953606729825,682.056946630209495
2018-02-01 00:00:11,1517443211836,0.0756246563372838521,773.577465865653835
2018-01-31 00:00:40,1517356840150,0.0746785829433382342,754.713707798647079
2018-01-30 00:00:55,1517270455186,0.0754410733507401288,848.04442169667243
2018-01-29 00:00:28,1517184028214,0.0757289831574346345,891.200635201806563
2018-01-28 00:00:43,1517097643524,0.0737437999380791825,845.210138362298267
2018-01-27 00:00:58,1517011258131,0.0735801010466986816,816.98782235989313
2018-01-26 00:00:17,1516924817748,0.0740870126013509073,827.80160398955627
2018-01-25 00:00:18,1516838418218,0.0736128037162682991,840.840042064963086
2018-01-24 00:00:18,1516752018294,0.0734232893326323133,797.108192913429548
2018-01-23 00:00:05,1516665605136,0.0739019800168298352,798.990517932155626
2018-01-22 00:00:28,1516579228398,0.0733434317030183525,847.434213229136049
2018-01-21 00:00:08,1516492808756,0.0741935054911194575,948.485322588141798
2018-01-20 00:00:06,1516406406676,0.0746632785944964239,860.252376778925054
2018-01-19 00:00:40,1516320040219,0.0751202135707705054,837.585122899141197
2018-01-18 00:00:38,1516233638844,0.0740768876750523414,828.134417305603279
2018-01-17 00:00:36,1516147236819,0.0722224941876562082,815.539293266781442
2018-01-16 00:00:46,1516060846972,0.0761166188313384395,1038.87158279001619
2018-01-15 00:00:02,1515974402264,0.0786747956790366104,1072.99203940531856
2018-01-14 00:00:11,1515888011788,0.0793071377219229101,1129.68893713717648
2018-01-13 00:00:27,1515801627189,0.0781731699264108237,1082.73514487065518
2018-01-12 00:00:22,1515715222077,0.0754959717211219905,1004.70492142299463
2018-01-11 00:00:30,1515628830191,0.0745004516879072265,1111.8402709632262
2018-01-10 00:00:43,1515542443613,0.075947106504530501,1100.81305681672211
2018-01-09 00:00:34,1515456034924,0.0749106994318050751,1121.49632137049139
2018-01-08 00:00:50,1515369650243,0.0745689653169951672,1209.01720796022255
2018-01-07 00:00:25,1515283225749,0.0699727489337264447,1201.8687291454296
2018-01-06 00:00:50,1515196850739,0.0686121496208864645,1162.79479999902651
2018-01-05 00:00:59,1515110459361,0.0742218994777349012,1127.40393318298106
2018-01-04 00:00:24,1515024024010,0.0744340432107675753,1127.21872961781469
2018-01-03 00:00:17,1514937617255,0.0692407149586088538,1022.13974310477909
2018-01-02 00:00:01,1514851201821,0.0689654038696234095,927.196406822648896
2018-01-01 00:00:42,1514764842178,0.0667207982162500574,924.049694895955213
2017-12-31 00:00:12,1514678412916,0.0671986830011867542,842.101640003031889
2017-12-30 00:00:57,1514592057653,0.0650200148118082327,933.79339532170934
2017-12-29 00:00:34,1514505634936,0.0605784967678146824,873.349889557133793
